type,G_x,GR_x,GT_x,L_x,LR_x,LT_x,R_x,G_y,GR_y,GT_y,L_y,LR_y,LT_y,R_y
T1,0.0745,0.0305,0.0616,0.0812,0.0661,0.0765,0.0,0.3913,0.4304,0.3623,0.3475,0.2892,0.3407,0.3488
T2,0.0936,0.0172,0.1286,0.1298,0.1248,0.1193,0.0,0.2621,0.2322,0.3856,0.2692,0.243,0.2634,0.2916
T3,0.1079,0.0581,0.1375,0.1001,0.0784,0.1047,0.0,0.303,0.2171,0.3451,0.2897,0.2192,0.2567,0.2987
T4,0.0283,0.0183,0.0213,0.0368,0.025,0.0285,0.0,0.4771,0.4475,0.3984,0.4641,0.3601,0.41,0.4702
T5,0.1838,0.0568,0.4246,0.1751,0.1333,0.1559,0.1183,0.1716,0.0841,0.419,0.0992,0.1113,0.0902,0.1173
T6,0.1372,0.0889,0.4596,0.2069,0.142,0.1977,0.1458,0.1369,0.1366,0.4493,0.1617,0.1228,0.1458,0.1497
T7,0.0146,0.0198,0.0641,0.2109,0.1382,0.229,0.0,0.0101,0.0177,0.0114,0.0262,0.0109,0.0437,0.0394
T8,0.154,0.0832,0.1473,0.166,0.1485,0.1655,0.104,0.1463,0.106,0.1432,0.1192,0.11,0.1112,0.0972
T9,0.1513,0.0868,0.1817,0.1623,0.1203,0.1607,0.0,0.1298,0.0825,0.169,0.1214,0.0691,0.1151,0.1338
T10,0.1203,0.0483,0.092,0.1212,0.0908,0.0995,0.0,0.0876,0.0441,0.0844,0.1058,0.0684,0.0833,0.086
T11,0.3775,0.345,0.3942,0.341,0.2807,0.3264,0.0,0.449,0.4408,0.4632,0.2981,0.2524,0.2802,0.2542
T12,0.2563,0.258,0.2347,0.1905,0.1208,0.1813,0.0,0.2589,0.264,0.2428,0.1572,0.142,0.1566,0.1232
